productId|productTypeId|isVirtual|isVariant|internalName|productName|productGroupMain(category)|comments|quantityIncluded|MainUnit(quantityUomId)
PM3408|FINDIG_GOOD|N|N| PLASTIC ROLL 210 MM| PLASTIC ROLL 210 MM|PACKAGING_MATERIAL|13.00|1|UQC_kgs
PM0001|FINDIG_GOOD|N|N| SEALER SLIDING BUSH -25/35X 40| SEALER SLIDING BUSH -25/35X 40|SPARES|13.00|1|UQC_pcs
PM0002|FINDIG_GOOD|N|N|12 UU|12 UU|CONSUMABLES|13.00|1|UQC_pcs
PM0003|FINDIG_GOOD|N|N|12MM SENSOR NUT|12MM SENSOR NUT|ELECTRICAL_FITTINGS|13.00|1|UQC_pcs
PM0004|FINDIG_GOOD|N|N|3 HOLE LEVER BUSH-13X20X13|3 HOLE LEVER BUSH-13X20X13|SPARES|13.00|1|UQC_pcs
PM0005|FINDIG_GOOD|N|N|3 HOLE LEVER TOP BOSH-20X24X25|3 HOLE LEVER TOP BOSH-20X24X25|SPARES|13.00|1|UQC_pcs
PM0006|FINDIG_GOOD|N|N|40 HP HOMOGENIZER|40 HP HOMOGENIZER|MACHINERY_FITTINGS|13.00|1|UQC_pcs
PM0007|FINDIG_GOOD|N|N|44100051 BELT GUIDE PROFILE 50X1340|44100051 BELT GUIDE PROFILE 50X1340|SPARES|13.00|1|UQC_pcs
PM0008|FINDIG_GOOD|N|N|44100184 GUIDE PROFILE BELT 50X3815 +10 MM LENGTH|44100184 GUIDE PROFILE BELT 50X3815 +10 MM LENGTH|SPARES|13.00|1|UQC_pcs
PM0009|FINDIG_GOOD|N|N|44300001 GEAR BEVEL SET 18/21|44300001 GEAR BEVEL SET 18/21|SPARES|13.00|1|UQC_pcs
PM0010|FINDIG_GOOD|N|N|4PC00207 PNEUMATIC CYLINDER DNC-32-80-PPV-A PARTNO.163308|4PC00207 PNEUMATIC CYLINDER DNC-32-80-PPV-A PARTNO.163308|SPARES|13.00|1|UQC_pcs
PM0011|FINDIG_GOOD|N|N|4PD00055 1/8-SILENCER|4PD00055 1/8-SILENCER|SPARES|13.00|1|UQC_pcs
PM0012|FINDIG_GOOD|N|N|4PF00001 REGULATOR LR-1/4-D PART NO. 159625|4PF00001 REGULATOR LR-1/4-D PART NO. 159625|SPARES|13.00|1|UQC_pcs
PM0013|FINDIG_GOOD|N|N|4PV00002 VALVE SINGLE SOLENOID MFH-5-1/8 PART 9982|4PV00002 VALVE SINGLE SOLENOID MFH-5-1/8 PART 9982|SPARES|13.00|1|UQC_pcs
PM0014|FINDIG_GOOD|N|N|4PV00006 FLOW CONTROL VALVE GRLA-1/8-B PARTNO.151165|4PV00006 FLOW CONTROL VALVE GRLA-1/8-B PARTNO.151165|SPARES|13.00|1|UQC_pcs
PM0015|FINDIG_GOOD|N|N|4PV00044 PNEUMATIC CYLINDER FESTO DNC-32-50-PPV-A,PARTNO.163307|4PV00044 PNEUMATIC CYLINDER FESTO DNC-32-50-PPV-A,PARTNO.163307|SPARES|13.00|1|UQC_pcs
PM0016|FINDIG_GOOD|N|N|"51500093 ONEWAY ROLLER SHAFT 2"""|"51500093 ONEWAY ROLLER SHAFT 2"""|SPARES|13.00|1|UQC_pcs
PM0017|FINDIG_GOOD|N|N|"51500094 ONEWAY ROLLER SHAFT 2 1/2"""|"51500094 ONEWAY ROLLER SHAFT 2 1/2"""|SPARES|13.00|1|UQC_pcs
PM0018|FINDIG_GOOD|N|N|"51500095 ONEWAY ROLLER SHAFT 3"""|"51500095 ONEWAY ROLLER SHAFT 3"""|SPARES|13.00|1|UQC_pcs
PM0019|FINDIG_GOOD|N|N|"51500096 ONEWAY ROLLER 2"""|"51500096 ONEWAY ROLLER 2"""|SPARES|13.00|1|UQC_pcs
PM0020|FINDIG_GOOD|N|N|"51500098 ONEWAY ROLLER 2 1/2"""|"51500098 ONEWAY ROLLER 2 1/2"""|SPARES|13.00|1|UQC_pcs
PM0021|FINDIG_GOOD|N|N|"51500099 ONEWAY ROLLER 3"""|"51500099 ONEWAY ROLLER 3"""|SPARES|13.00|1|UQC_pcs
PM0022|FINDIG_GOOD|N|N|"51500128 CUTTER BLADE 2"""|"51500128 CUTTER BLADE 2"""|SPARES|13.00|1|UQC_pcs
