productId|productTypeId|isVirtual|isVariant|internalName|productName|brandName|productGroup(category)|quantityIncluded|MainUnit(quantityUomId)|altQuantityIncluded|AltUnit(altQuantityUomId)|ConversionFactor
PB1231|FINDIG_GOOD|N|N|Test Tube Stand (12 Tube)|Test Tube Stand (12 Tube)||consumable_items|1|UQC_pcs|1|UQC_pcs|1
PB1232|FINDIG_GOOD|N|N|Socket Modular Box|Socket Modular Box||consumable_items|1|UQC_set|1|UQC_set|1
PB1233|FINDIG_GOOD|N|N|Printed Pen|Printed Pen||publicity_material|1|UQC_pcs|1|UQC_pcs|1
PB1234|FINDIG_GOOD|N|N|Printed Keyring|Printed Keyring||publicity_material|1|UQC_pcs|1|UQC_pcs|1
PB1235|FINDIG_GOOD|N|N|Box File|Box File||consumable_items|1|UQC_pcs|1|UQC_pcs|1
PB1236|FINDIG_GOOD|N|N|Cello Tape 1/2"|Cello Tape 1/2"||consumable_items|1|UQC_pcs|1|UQC_pcs|1
PB1237|FINDIG_GOOD|N|N|Tape Dispenser 1" & 1/2"|Tape Dispenser 1" & 1/2"||consumable_items|1|UQC_pcs|1|UQC_pcs|1
PB1238|FINDIG_GOOD|N|N|Paper A4 Size 75 GSM|Paper A4 Size 75 GSM||consumable_items|1|UQC_pac|1|UQC_pac|1
PB1239|FINDIG_GOOD|N|N|Spring File Cobra - 5000|Spring File Cobra - 5000||consumable_items|1|UQC_pcs|1|UQC_pcs|1
PB1240|FINDIG_GOOD|N|N|Sink Waste Pipe|Sink Waste Pipe||consumable_items|1|UQC_pcs|1|UQC_pcs|1
PB1241|FINDIG_GOOD|N|N|6" Nipple 1/2"|6" Nipple 1/2"||consumable_items|1|UQC_pcs|1|UQC_pcs|1
PB1242|FINDIG_GOOD|N|N|Elbow 1/2"|Elbow 1/2"||consumable_items|1|UQC_pcs|1|UQC_pcs|1
PB1243|FINDIG_GOOD|N|N|2 Way MCB Box|2 Way MCB Box||consumable_items|1|UQC_pcs|1|UQC_pcs|1
PB1244|FINDIG_GOOD|N|N|4 Way MCB Box|4 Way MCB Box||consumable_items|1|UQC_pcs|1|UQC_pcs|1
PB1245|FINDIG_GOOD|N|N|12 Way MCB Box|12 Way MCB Box||consumable_items|1|UQC_pcs|1|UQC_pcs|1
PB1246|FINDIG_GOOD|N|N|Socket 16 Amp Modular Box|Socket 16 Amp Modular Box||consumable_items|1|UQC_set|1|UQC_set|1
PB1247|FINDIG_GOOD|N|N|One Way Lab Water Tap|One Way Lab Water Tap||consumable_items|1|UQC_pcs|1|UQC_pcs|1
PB1248|FINDIG_GOOD|N|N|Two Way Lab Water Tap|Two Way Lab Water Tap||consumable_items|1|UQC_pcs|1|UQC_pcs|1
PB1249|FINDIG_GOOD|N|N|Penta Modular Board 4X6|Penta Modular Board 4X6||consumable_items|1|UQC_pcs|1|UQC_pcs|1
PB1250|FINDIG_GOOD|N|N|Penta Modular Board ( 12 Module)|Penta Modular Board ( 12 Module)||consumable_items|1|UQC_pcs|1|UQC_pcs|1
PB1251|FINDIG_GOOD|N|N|Rechargable Torch Big|Rechargable Torch Big||consumable_items|1|UQC_pcs|1|UQC_pcs|1
PB1252|FINDIG_GOOD|N|N|Matrix Simado GFX11|Matrix Simado GFX11||consumable_items|1|UQC_pcs|1|UQC_pcs|1
PB1253|FINDIG_GOOD|N|N|Cutter Big|Cutter Big||consumable_items|1|UQC_pcs|1|UQC_pcs|1
PB1254|FINDIG_GOOD|N|N|Cutter Small|Cutter Small||consumable_items|1|UQC_pcs|1|UQC_pcs|1
PB1255|FINDIG_GOOD|N|N|Scissor Big|Scissor Big||consumable_items|1|UQC_pcs|1|UQC_pcs|1
PB1256|FINDIG_GOOD|N|N|Scissor Small|Scissor Small||consumable_items|1|UQC_pcs|1|UQC_pcs|1
PB1257|FINDIG_GOOD|N|N|Room Freshner|Room Freshner||consumable_items|1|UQC_pcs|1|UQC_pcs|1
PB1258|FINDIG_GOOD|N|N|AA Cell 1.5V|AA Cell 1.5V||consumable_items|1|UQC_pcs|1|UQC_pcs|1
PB1259|FINDIG_GOOD|N|N|AAA Cell 1.5V|AAA Cell 1.5V||consumable_items|1|UQC_pcs|1|UQC_pcs|1
PB1260|FINDIG_GOOD|N|N|SS Sink Coupling|SS Sink Coupling||consumable_items|1|UQC_pcs|1|UQC_pcs|1
PB1261|FINDIG_GOOD|N|N|CAT DEO CI4 15W40|CAT DEO CI4 15W40||consumable_items|1|UQC_klr|1|UQC_klr|1
PB1262|FINDIG_GOOD|N|N|Aloevera Juice|Aloevera Juice||raw_material|1|UQC_oth|1|UQC_oth|1
