productId|productTypeId|isVirtual|isVariant|internalName|productName|brandName|productGroup(category)|quantityIncluded|MainUnit(quantityUomId)|altQuantityIncluded|AltUnit(altQuantityUomId)|ConversionFactor
PB0001|FINDIG_GOOD|N|N|Patanjali PSB 1 LTR|Patanjali PSB 1 LTR|PSB 1L|bio_fertilizer|1|UQC_box|1|UQC_pcs|12
PB0002|FINDIG_GOOD|N|N|Patanjali Jaivik Khad 40 Kg|Patanjali Jaivik Khad 40 Kg|PJK|organic_manure|1|UQC_pcs|1|UQC_kgs|40
PB0003|FINDIG_GOOD|N|N|Patanjali PROM 50 Kg|Patanjali PROM 50 Kg|PROM|organic_manure|1|UQC_pcs|1|UQC_kgs|50
PB0004|FINDIG_GOOD|N|N|Patanjali Poshak 05 Kg|Patanjali Poshak 05 Kg|PP|bio_fertilizer|1|UQC_pcs|1|UQC_kgs|5
PB0005|FINDIG_GOOD|N|N|Patanjali Neem Gold 5Ltr|Patanjali Neem Gold 5Ltr|PNG 5L|bio_pesticide|1|UQC_box|1|UQC_pcs|2
PB0006|FINDIG_GOOD|N|N|Patanjali Neem Gold 1Ltr|Patanjali Neem Gold 1Ltr|PNG 1L|bio_pesticide|1|UQC_box|1|UQC_pcs|12
PB0007|FINDIG_GOOD|N|N|Patanjali Neem Gold 0.5Ltr|Patanjali Neem Gold 0.5Ltr|PNG 0.5L|bio_pesticide|1|UQC_box|1|UQC_pcs|20
PB0008|FINDIG_GOOD|N|N|Patanjali Neem Gold 0.25Ltr|Patanjali Neem Gold 0.25Ltr|PNG 0.25L|bio_pesticide|1|UQC_box|1|UQC_pcs|40
PB0009|FINDIG_GOOD|N|N|Patanjali PSB 0.5 LTR|Patanjali PSB 0.5 LTR|PSB 0.51L|bio_fertilizer|1|UQC_box|1|UQC_pcs|20
PB0010|FINDIG_GOOD|N|N|Patanjali PSB 0.25 LTR|Patanjali PSB 0.25 LTR|PSB 0.25L|bio_fertilizer|1|UQC_box|1|UQC_pcs|40
PB0011|FINDIG_GOOD|N|N|Patanjali Azoto 1 LTR|Patanjali Azoto 1 LTR|AZT 1L|bio_fertilizer|1|UQC_box|1|UQC_pcs|12
PB0012|FINDIG_GOOD|N|N|Patanjali Azoto 0.5 LTR|Patanjali Azoto 0.5 LTR|AZT 0.51L|bio_fertilizer|1|UQC_box|1|UQC_pcs|20
PB0013|FINDIG_GOOD|N|N|Patanjali Azoto 0.25 LTR|Patanjali Azoto 0.25 LTR|AZT 0.25L|bio_fertilizer|1|UQC_box|1|UQC_pcs|40
PB0014|FINDIG_GOOD|N|N|Patanjali Rhizo 1 LTR|Patanjali Rhizo 1 LTR|RHZ 1L|bio_fertilizer|1|UQC_box|1|UQC_pcs|12
PB0015|FINDIG_GOOD|N|N|Patanjali Rhizo 0.5 LTR|Patanjali Rhizo 0.5 LTR|RHZ 0.51L|bio_fertilizer|1|UQC_box|1|UQC_pcs|20
PB0016|FINDIG_GOOD|N|N|Patanjali Rhizo 0.25 LTR|Patanjali Rhizo 0.25 LTR|RHZ 0.25L|bio_fertilizer|1|UQC_box|1|UQC_pcs|40
PB0017|FINDIG_GOOD|N|N|Patanjali Bio Potash 1 LTR|Patanjali Bio Potash 1 LTR|BP 1L|bio_fertilizer|1|UQC_box|1|UQC_pcs|12
PB0018|FINDIG_GOOD|N|N|Patanjali Bio Potash 0.5 LTR|Patanjali Bio Potash 0.5 LTR|BP 0.51L|bio_fertilizer|1|UQC_box|1|UQC_pcs|20
