contactMechId,contactMechTypeId
CM0001,POSTAL_ADDRESS
CM0002,POSTAL_ADDRESS
CM0003,POSTAL_ADDRESS
CM0004,POSTAL_ADDRESS
CM0005,POSTAL_ADDRESS
CM0006,POSTAL_ADDRESS
CM0007,POSTAL_ADDRESS
CM0008,POSTAL_ADDRESS
CM0009,POSTAL_ADDRESS
CM0010,POSTAL_ADDRESS
CM0011,POSTAL_ADDRESS
CM0012,POSTAL_ADDRESS
CM0013,POSTAL_ADDRESS
CM0014,POSTAL_ADDRESS
CM0015,POSTAL_ADDRESS
CM0016,POSTAL_ADDRESS
CM0017,POSTAL_ADDRESS
CM0018,POSTAL_ADDRESS
CM0019,POSTAL_ADDRESS
CM0020,POSTAL_ADDRESS
CM0021,POSTAL_ADDRESS
CM0022,POSTAL_ADDRESS
CM0023,POSTAL_ADDRESS
CM0024,POSTAL_ADDRESS
CM0025,POSTAL_ADDRESS
CM0026,POSTAL_ADDRESS
CM0027,POSTAL_ADDRESS
CM0028,POSTAL_ADDRESS
CM0029,POSTAL_ADDRESS
CM0030,POSTAL_ADDRESS
CM0031,POSTAL_ADDRESS
CM0032,POSTAL_ADDRESS
CM0033,POSTAL_ADDRESS
CM0034,POSTAL_ADDRESS
CM0035,POSTAL_ADDRESS
CM0036,POSTAL_ADDRESS
CM0037,POSTAL_ADDRESS
CM0038,POSTAL_ADDRESS
CM0039,POSTAL_ADDRESS
CM0040,POSTAL_ADDRESS
CM0041,POSTAL_ADDRESS
CM0042,POSTAL_ADDRESS
CM0043,POSTAL_ADDRESS
CM0044,POSTAL_ADDRESS
CM0045,POSTAL_ADDRESS
CM0046,POSTAL_ADDRESS
CM0047,POSTAL_ADDRESS
CM0048,POSTAL_ADDRESS
CM0049,POSTAL_ADDRESS
CM0050,POSTAL_ADDRESS
CM0051,POSTAL_ADDRESS
CM0052,POSTAL_ADDRESS
CM0053,POSTAL_ADDRESS
CM0054,POSTAL_ADDRESS
CM0055,POSTAL_ADDRESS
CM0056,POSTAL_ADDRESS
CM0057,POSTAL_ADDRESS
CM0058,POSTAL_ADDRESS
CM0059,POSTAL_ADDRESS
CM0060,POSTAL_ADDRESS
CM0061,POSTAL_ADDRESS
CM0062,POSTAL_ADDRESS
CM0063,POSTAL_ADDRESS
CM0064,POSTAL_ADDRESS
CM0065,POSTAL_ADDRESS
CM0066,POSTAL_ADDRESS
CM0067,POSTAL_ADDRESS
CM0068,POSTAL_ADDRESS
CM0069,POSTAL_ADDRESS
CM0070,POSTAL_ADDRESS
CM0071,POSTAL_ADDRESS
CM0072,POSTAL_ADDRESS
CM0073,POSTAL_ADDRESS
CM0074,POSTAL_ADDRESS
CM0075,POSTAL_ADDRESS
CM0076,POSTAL_ADDRESS
CM0077,POSTAL_ADDRESS
CM0078,POSTAL_ADDRESS
CM0079,POSTAL_ADDRESS
CM0080,POSTAL_ADDRESS
CM0081,POSTAL_ADDRESS
CM0082,POSTAL_ADDRESS
CM0083,POSTAL_ADDRESS
CM0084,POSTAL_ADDRESS
CM0085,POSTAL_ADDRESS
CM0086,POSTAL_ADDRESS
CM0087,POSTAL_ADDRESS
CM0088,POSTAL_ADDRESS
CM0089,POSTAL_ADDRESS
CM0090,POSTAL_ADDRESS
CM0091,POSTAL_ADDRESS
CM0092,POSTAL_ADDRESS
CM0093,POSTAL_ADDRESS
CM0094,POSTAL_ADDRESS
CM0095,POSTAL_ADDRESS
CM0096,POSTAL_ADDRESS
CM0097,POSTAL_ADDRESS
CM0098,POSTAL_ADDRESS
CM0099,POSTAL_ADDRESS
CM0100,POSTAL_ADDRESS
CM0101,POSTAL_ADDRESS
CM0102,POSTAL_ADDRESS
CM0103,POSTAL_ADDRESS
CM0104,POSTAL_ADDRESS
CM0105,POSTAL_ADDRESS
CM0106,POSTAL_ADDRESS
CM0107,POSTAL_ADDRESS
CM0108,POSTAL_ADDRESS
CM0109,POSTAL_ADDRESS
CM0110,POSTAL_ADDRESS
CM0111,POSTAL_ADDRESS
CM0112,POSTAL_ADDRESS
CM0113,POSTAL_ADDRESS
CM0114,POSTAL_ADDRESS
CM0115,POSTAL_ADDRESS
CM0116,POSTAL_ADDRESS
CM0117,POSTAL_ADDRESS
CM0118,POSTAL_ADDRESS
CM0119,POSTAL_ADDRESS
CM0120,POSTAL_ADDRESS
CM0121,POSTAL_ADDRESS
CM0122,POSTAL_ADDRESS
CM0123,POSTAL_ADDRESS
CM0124,POSTAL_ADDRESS
CM0125,POSTAL_ADDRESS
CM0126,POSTAL_ADDRESS
CM0127,POSTAL_ADDRESS
CM0128,POSTAL_ADDRESS
CM0129,POSTAL_ADDRESS
CM0130,POSTAL_ADDRESS
CM0131,POSTAL_ADDRESS
CM0132,POSTAL_ADDRESS
CM0133,POSTAL_ADDRESS
CM0134,POSTAL_ADDRESS
CM0135,POSTAL_ADDRESS
CM0136,POSTAL_ADDRESS
CM0137,POSTAL_ADDRESS
CM0138,POSTAL_ADDRESS
CM0139,POSTAL_ADDRESS
CM0140,POSTAL_ADDRESS
CM0141,POSTAL_ADDRESS
CM0142,POSTAL_ADDRESS
CM0143,POSTAL_ADDRESS
CM0144,POSTAL_ADDRESS
CM0145,POSTAL_ADDRESS
CM0146,POSTAL_ADDRESS
CM0147,POSTAL_ADDRESS
CM0148,POSTAL_ADDRESS
CM0149,POSTAL_ADDRESS
CM0150,POSTAL_ADDRESS
CM0151,POSTAL_ADDRESS
CM0152,POSTAL_ADDRESS
CM0153,POSTAL_ADDRESS
CM0154,POSTAL_ADDRESS
CM0155,POSTAL_ADDRESS
CM0156,POSTAL_ADDRESS
CM0157,POSTAL_ADDRESS
CM0158,POSTAL_ADDRESS
CM0159,POSTAL_ADDRESS
CM0160,POSTAL_ADDRESS
CM0161,POSTAL_ADDRESS
CM0162,POSTAL_ADDRESS
CM0163,POSTAL_ADDRESS
CM0164,POSTAL_ADDRESS
CM0165,POSTAL_ADDRESS
CM0166,POSTAL_ADDRESS
CM0167,POSTAL_ADDRESS
CM0168,POSTAL_ADDRESS
CM0169,POSTAL_ADDRESS
CM0170,POSTAL_ADDRESS
CM0171,POSTAL_ADDRESS
CM0172,POSTAL_ADDRESS
CM0173,POSTAL_ADDRESS
CM0174,POSTAL_ADDRESS
CM0175,POSTAL_ADDRESS
CM0176,POSTAL_ADDRESS
CM0177,POSTAL_ADDRESS
CM0178,POSTAL_ADDRESS
CM0179,POSTAL_ADDRESS
CM0180,POSTAL_ADDRESS
CM0181,POSTAL_ADDRESS
CM0182,POSTAL_ADDRESS
CM0183,POSTAL_ADDRESS
CM0184,POSTAL_ADDRESS
CM0185,POSTAL_ADDRESS
CM0186,POSTAL_ADDRESS
CM0187,POSTAL_ADDRESS
CM0188,POSTAL_ADDRESS
CM0189,POSTAL_ADDRESS
CM0190,POSTAL_ADDRESS
CM0191,POSTAL_ADDRESS
CM0192,POSTAL_ADDRESS
CM0193,POSTAL_ADDRESS
CM0194,POSTAL_ADDRESS
CM0195,POSTAL_ADDRESS
CM0196,POSTAL_ADDRESS
CM0197,POSTAL_ADDRESS
CM0198,POSTAL_ADDRESS
CM0199,POSTAL_ADDRESS
CM0200,POSTAL_ADDRESS
CM0201,POSTAL_ADDRESS
CM0202,POSTAL_ADDRESS
CM0203,POSTAL_ADDRESS
CM0204,POSTAL_ADDRESS
CM0205,POSTAL_ADDRESS
CM0206,POSTAL_ADDRESS
CM0207,POSTAL_ADDRESS
CM0208,POSTAL_ADDRESS
CM0209,POSTAL_ADDRESS
CM0210,POSTAL_ADDRESS
CM0211,POSTAL_ADDRESS
CM0212,POSTAL_ADDRESS
CM0213,POSTAL_ADDRESS
CM0214,POSTAL_ADDRESS
CM0215,POSTAL_ADDRESS
CM0216,POSTAL_ADDRESS
CM0217,POSTAL_ADDRESS
CM0218,POSTAL_ADDRESS
CM0219,POSTAL_ADDRESS
CM0220,POSTAL_ADDRESS
CM0221,POSTAL_ADDRESS
CM0222,POSTAL_ADDRESS
CM0223,POSTAL_ADDRESS
CM0224,POSTAL_ADDRESS
CM0225,POSTAL_ADDRESS
CM0226,POSTAL_ADDRESS
CM0227,POSTAL_ADDRESS
CM0228,POSTAL_ADDRESS
CM0229,POSTAL_ADDRESS
CM0230,POSTAL_ADDRESS
CM0231,POSTAL_ADDRESS
CM0232,POSTAL_ADDRESS
CM0233,POSTAL_ADDRESS
CM0234,POSTAL_ADDRESS
CM0235,POSTAL_ADDRESS
CM0236,POSTAL_ADDRESS
CM0237,POSTAL_ADDRESS
CM0238,POSTAL_ADDRESS
CM0239,POSTAL_ADDRESS
CM0240,POSTAL_ADDRESS
CM0241,POSTAL_ADDRESS
CM0242,POSTAL_ADDRESS
CM0243,POSTAL_ADDRESS
CM0244,POSTAL_ADDRESS
CM0245,POSTAL_ADDRESS
CM0246,POSTAL_ADDRESS
CM0247,POSTAL_ADDRESS
CM0248,POSTAL_ADDRESS
CM0249,POSTAL_ADDRESS
CM0250,POSTAL_ADDRESS
CM0251,POSTAL_ADDRESS
CM0252,POSTAL_ADDRESS
CM0253,POSTAL_ADDRESS
CM0254,POSTAL_ADDRESS
CM0255,POSTAL_ADDRESS
CM0256,POSTAL_ADDRESS
CM0257,POSTAL_ADDRESS
CM0258,POSTAL_ADDRESS
CM0259,POSTAL_ADDRESS
CM0260,POSTAL_ADDRESS
CM0261,POSTAL_ADDRESS
CM0262,POSTAL_ADDRESS
CM0263,POSTAL_ADDRESS
CM0264,POSTAL_ADDRESS
CM0265,POSTAL_ADDRESS
CM0266,POSTAL_ADDRESS
CM0267,POSTAL_ADDRESS
CM0268,POSTAL_ADDRESS
CM0269,POSTAL_ADDRESS
CM0270,POSTAL_ADDRESS
CM0271,POSTAL_ADDRESS
CM0272,POSTAL_ADDRESS
CM0273,POSTAL_ADDRESS
CM0274,POSTAL_ADDRESS
CM0275,POSTAL_ADDRESS
