partyId,contactMechId,fromDate,allowSolicitation
PRT0001,CM0001,2019-04-17 00:00:00.0,Y
PRT0002,CM0002,2019-04-17 00:00:00.0,Y
PRT0003,CM0003,2019-04-17 00:00:00.0,Y
PRT0004,CM0004,2019-04-17 00:00:00.0,Y
PRT0005,CM0005,2019-04-17 00:00:00.0,Y
PRT0006,CM0006,2019-04-17 00:00:00.0,Y
PRT0007,CM0007,2019-04-17 00:00:00.0,Y
PRT0008,CM0008,2019-04-17 00:00:00.0,Y
PRT0009,CM0009,2019-04-17 00:00:00.0,Y
PRT0010,CM0010,2019-04-17 00:00:00.0,Y
PRT0011,CM0011,2019-04-17 00:00:00.0,Y
PRT0012,CM0012,2019-04-17 00:00:00.0,Y
PRT0013,CM0013,2019-04-17 00:00:00.0,Y
PRT0014,CM0014,2019-04-17 00:00:00.0,Y
PRT0015,CM0015,2019-04-17 00:00:00.0,Y
PRT0016,CM0016,2019-04-17 00:00:00.0,Y
PRT0017,CM0017,2019-04-17 00:00:00.0,Y
PRT0018,CM0018,2019-04-17 00:00:00.0,Y
PRT0019,CM0019,2019-04-17 00:00:00.0,Y
PRT0020,CM0020,2019-04-17 00:00:00.0,Y
PRT0021,CM0021,2019-04-17 00:00:00.0,Y
PRT0022,CM0022,2019-04-17 00:00:00.0,Y
PRT0023,CM0023,2019-04-17 00:00:00.0,Y
PRT0024,CM0024,2019-04-17 00:00:00.0,Y
PRT0025,CM0025,2019-04-17 00:00:00.0,Y
PRT0026,CM0026,2019-04-17 00:00:00.0,Y
PRT0027,CM0027,2019-04-17 00:00:00.0,Y
PRT0028,CM0028,2019-04-17 00:00:00.0,Y
PRT0029,CM0029,2019-04-17 00:00:00.0,Y
PRT0030,CM0030,2019-04-17 00:00:00.0,Y
PRT0031,CM0031,2019-04-17 00:00:00.0,Y
PRT0032,CM0032,2019-04-17 00:00:00.0,Y
PRT0033,CM0033,2019-04-17 00:00:00.0,Y
PRT0034,CM0034,2019-04-17 00:00:00.0,Y
PRT0035,CM0035,2019-04-17 00:00:00.0,Y
PRT0036,CM0036,2019-04-17 00:00:00.0,Y
PRT0037,CM0037,2019-04-17 00:00:00.0,Y
PRT0038,CM0038,2019-04-17 00:00:00.0,Y
PRT0039,CM0039,2019-04-17 00:00:00.0,Y
PRT0040,CM0040,2019-04-17 00:00:00.0,Y
PRT0041,CM0041,2019-04-17 00:00:00.0,Y
PRT0042,CM0042,2019-04-17 00:00:00.0,Y
PRT0043,CM0043,2019-04-17 00:00:00.0,Y
PRT0044,CM0044,2019-04-17 00:00:00.0,Y
PRT0045,CM0045,2019-04-17 00:00:00.0,Y
PRT0046,CM0046,2019-04-17 00:00:00.0,Y
PRT0047,CM0047,2019-04-17 00:00:00.0,Y
PRT0048,CM0048,2019-04-17 00:00:00.0,Y
PRT0049,CM0049,2019-04-17 00:00:00.0,Y
PRT0050,CM0050,2019-04-17 00:00:00.0,Y
PRT0051,CM0051,2019-04-17 00:00:00.0,Y
PRT0052,CM0052,2019-04-17 00:00:00.0,Y
PRT0053,CM0053,2019-04-17 00:00:00.0,Y
PRT0054,CM0054,2019-04-17 00:00:00.0,Y
PRT0055,CM0055,2019-04-17 00:00:00.0,Y
PRT0056,CM0056,2019-04-17 00:00:00.0,Y
PRT0057,CM0057,2019-04-17 00:00:00.0,Y
PRT0058,CM0058,2019-04-17 00:00:00.0,Y
PRT0059,CM0059,2019-04-17 00:00:00.0,Y
PRT0060,CM0060,2019-04-17 00:00:00.0,Y
PRT0061,CM0061,2019-04-17 00:00:00.0,Y
PRT0062,CM0062,2019-04-17 00:00:00.0,Y
PRT0063,CM0063,2019-04-17 00:00:00.0,Y
PRT0064,CM0064,2019-04-17 00:00:00.0,Y
PRT0065,CM0065,2019-04-17 00:00:00.0,Y
PRT0066,CM0066,2019-04-17 00:00:00.0,Y
PRT0067,CM0067,2019-04-17 00:00:00.0,Y
PRT0068,CM0068,2019-04-17 00:00:00.0,Y
PRT0069,CM0069,2019-04-17 00:00:00.0,Y
PRT0070,CM0070,2019-04-17 00:00:00.0,Y
PRT0071,CM0071,2019-04-17 00:00:00.0,Y
PRT0072,CM0072,2019-04-17 00:00:00.0,Y
PRT0073,CM0073,2019-04-17 00:00:00.0,Y
