partyId,contactMechId,fromDate,contactMechPurposeTypeId
PRT0001,CM0001,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0002,CM0002,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0003,CM0003,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0004,CM0004,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0005,CM0005,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0006,CM0006,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0007,CM0007,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0008,CM0008,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0009,CM0009,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0010,CM0010,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0011,CM0011,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0012,CM0012,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0013,CM0013,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0014,CM0014,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0015,CM0015,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0016,CM0016,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0017,CM0017,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0018,CM0018,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0019,CM0019,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0020,CM0020,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0021,CM0021,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0022,CM0022,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0023,CM0023,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0024,CM0024,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0025,CM0025,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0026,CM0026,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0027,CM0027,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0028,CM0028,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0029,CM0029,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0030,CM0030,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0031,CM0031,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0032,CM0032,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0033,CM0033,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0034,CM0034,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0035,CM0035,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0036,CM0036,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0037,CM0037,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0038,CM0038,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0039,CM0039,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0040,CM0040,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0041,CM0041,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0042,CM0042,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0043,CM0043,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0044,CM0044,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0045,CM0045,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0046,CM0046,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0047,CM0047,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0048,CM0048,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0049,CM0049,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0050,CM0050,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0051,CM0051,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0052,CM0052,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0053,CM0053,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0054,CM0054,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0055,CM0055,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0056,CM0056,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0057,CM0057,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0058,CM0058,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0059,CM0059,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0060,CM0060,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0061,CM0061,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0062,CM0062,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0063,CM0063,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0064,CM0064,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0065,CM0065,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0066,CM0066,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0067,CM0067,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0068,CM0068,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0069,CM0069,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0070,CM0070,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0071,CM0071,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0072,CM0072,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0073,CM0073,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0074,CM0074,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0075,CM0075,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0076,CM0076,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0077,CM0077,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0078,CM0078,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0079,CM0079,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0080,CM0080,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0081,CM0081,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0082,CM0082,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0083,CM0083,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0084,CM0084,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0085,CM0085,2019-04-17 00:00:00.0,BILLING_LOCATION,
PRT0086,CM0086,2019-04-17 00:00:00.0,BILLING_LOCATION,
