partyId,contactMechId,fromDate,allowSolicitation
PRT0003,EM0001,2019-04-17 00:00:00.000,Y
PRT0016,EM0002,2019-04-17 00:00:00.000,Y
PRT0020,EM0003,2019-04-17 00:00:00.000,Y
PRT0021,EM0004,2019-04-17 00:00:00.000,Y
PRT0025,EM0005,2019-04-17 00:00:00.000,Y
PRT0026,EM0006,2019-04-17 00:00:00.000,Y
PRT0033,EM0007,2019-04-17 00:00:00.000,Y
PRT0035,EM0008,2019-04-17 00:00:00.000,Y
PRT0040,EM0009,2019-04-17 00:00:00.000,Y
PRT0041,EM0010,2019-04-17 00:00:00.000,Y
PRT0053,EM0011,2019-04-17 00:00:00.000,Y
PRT0054,EM0012,2019-04-17 00:00:00.000,Y
PRT0056,EM0013,2019-04-17 00:00:00.000,Y
PRT0063,EM0014,2019-04-17 00:00:00.000,Y
PRT0068,EM0015,2019-04-17 00:00:00.000,Y
PRT0078,EM0016,2019-04-17 00:00:00.000,Y
PRT0080,EM0017,2019-04-17 00:00:00.000,Y
PRT0082,EM0018,2019-04-17 00:00:00.000,Y
PRT0083,EM0019,2019-04-17 00:00:00.000,Y
PRT0084,EM0020,2019-04-17 00:00:00.000,Y
PRT0085,EM0021,2019-04-17 00:00:00.000,Y
PRT0093,EM0022,2019-04-17 00:00:00.000,Y
PRT0094,EM0023,2019-04-17 00:00:00.000,Y
PRT0095,EM0024,2019-04-17 00:00:00.000,Y
PRT0100,EM0025,2019-04-17 00:00:00.000,Y
PRT0101,EM0026,2019-04-17 00:00:00.000,Y
PRT0102,EM0027,2019-04-17 00:00:00.000,Y
PRT0103,EM0028,2019-04-17 00:00:00.000,Y
PRT0104,EM0029,2019-04-17 00:00:00.000,Y
PRT0105,EM0030,2019-04-17 00:00:00.000,Y
PRT0107,EM0031,2019-04-17 00:00:00.000,Y
PRT0108,EM0032,2019-04-17 00:00:00.000,Y
PRT0111,EM0033,2019-04-17 00:00:00.000,Y
PRT0112,EM0034,2019-04-17 00:00:00.000,Y
PRT0114,EM0035,2019-04-17 00:00:00.000,Y
PRT0115,EM0036,2019-04-17 00:00:00.000,Y
PRT0116,EM0037,2019-04-17 00:00:00.000,Y
PRT0117,EM0038,2019-04-17 00:00:00.000,Y
PRT0120,EM0039,2019-04-17 00:00:00.000,Y
PRT0121,EM0040,2019-04-17 00:00:00.000,Y
PRT0123,EM0041,2019-04-17 00:00:00.000,Y
PRT0128,EM0042,2019-04-17 00:00:00.000,Y
PRT0130,EM0043,2019-04-17 00:00:00.000,Y
PRT0131,EM0044,2019-04-17 00:00:00.000,Y
PRT0132,EM0045,2019-04-17 00:00:00.000,Y
PRT0133,EM0046,2019-04-17 00:00:00.000,Y
PRT0134,EM0047,2019-04-17 00:00:00.000,Y
PRT0137,EM0048,2019-04-17 00:00:00.000,Y
PRT0140,EM0049,2019-04-17 00:00:00.000,Y
PRT0141,EM0050,2019-04-17 00:00:00.000,Y
PRT0142,EM0051,2019-04-17 00:00:00.000,Y
PRT0146,EM0052,2019-04-17 00:00:00.000,Y
PRT0149,EM0053,2019-04-17 00:00:00.000,Y
PRT0156,EM0054,2019-04-17 00:00:00.000,Y
PRT0157,EM0055,2019-04-17 00:00:00.000,Y
PRT0158,EM0056,2019-04-17 00:00:00.000,Y
PRT0160,EM0057,2019-04-17 00:00:00.000,Y
PRT0165,EM0058,2019-04-17 00:00:00.000,Y
PRT0167,EM0059,2019-04-17 00:00:00.000,Y
PRT0168,EM0060,2019-04-17 00:00:00.000,Y
PRT0171,EM0061,2019-04-17 00:00:00.000,Y
PRT0180,EM0062,2019-04-17 00:00:00.000,Y
PRT0183,EM0063,2019-04-17 00:00:00.000,Y
