partyId,contactMechId,fromDate,contactMechPurposeTypeId
PRT0003,EM0001,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0016,EM0002,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0020,EM0003,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0021,EM0004,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0025,EM0005,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0026,EM0006,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0033,EM0007,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0035,EM0008,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0040,EM0009,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0041,EM0010,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0053,EM0011,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0054,EM0012,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0056,EM0013,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0063,EM0014,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0068,EM0015,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0078,EM0016,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0080,EM0017,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0082,EM0018,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0083,EM0019,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0084,EM0020,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0085,EM0021,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0093,EM0022,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0094,EM0023,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0095,EM0024,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0100,EM0025,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0101,EM0026,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0102,EM0027,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0103,EM0028,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0104,EM0029,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0105,EM0030,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0107,EM0031,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0108,EM0032,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0111,EM0033,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0112,EM0034,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0114,EM0035,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0115,EM0036,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0116,EM0037,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0117,EM0038,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0120,EM0039,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0121,EM0040,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0123,EM0041,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0128,EM0042,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0130,EM0043,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0131,EM0044,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0132,EM0045,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0133,EM0046,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0134,EM0047,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0137,EM0048,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0140,EM0049,2019-04-17 00:00:00.000,PRIMARY_EMAIL
