contactMechId,contactMechTypeId
PN0001,TELECOM_NUMBER
PN0002,TELECOM_NUMBER
PN0003,TELECOM_NUMBER
PN0004,TELECOM_NUMBER
PN0005,TELECOM_NUMBER
PN0006,TELECOM_NUMBER
PN0007,TELECOM_NUMBER
PN0008,TELECOM_NUMBER
PN0009,TELECOM_NUMBER
PN0010,TELECOM_NUMBER
PN0011,TELECOM_NUMBER
PN0012,TELECOM_NUMBER
PN0013,TELECOM_NUMBER
PN0014,TELECOM_NUMBER
PN0015,TELECOM_NUMBER
PN0016,TELECOM_NUMBER
PN0017,TELECOM_NUMBER
PN0018,TELECOM_NUMBER
PN0019,TELECOM_NUMBER
PN0020,TELECOM_NUMBER
PN0021,TELECOM_NUMBER
PN0022,TELECOM_NUMBER
PN0023,TELECOM_NUMBER
PN0024,TELECOM_NUMBER
PN0025,TELECOM_NUMBER
PN0026,TELECOM_NUMBER
PN0027,TELECOM_NUMBER
PN0028,TELECOM_NUMBER
PN0029,TELECOM_NUMBER
PN0030,TELECOM_NUMBER
PN0031,TELECOM_NUMBER
PN0032,TELECOM_NUMBER
PN0033,TELECOM_NUMBER
PN0034,TELECOM_NUMBER
PN0035,TELECOM_NUMBER
PN0036,TELECOM_NUMBER
PN0037,TELECOM_NUMBER
PN0038,TELECOM_NUMBER
PN0039,TELECOM_NUMBER
PN0040,TELECOM_NUMBER
PN0041,TELECOM_NUMBER
PN0042,TELECOM_NUMBER
PN0043,TELECOM_NUMBER
PN0044,TELECOM_NUMBER
PN0045,TELECOM_NUMBER
PN0046,TELECOM_NUMBER
PN0047,TELECOM_NUMBER
PN0048,TELECOM_NUMBER
PN0049,TELECOM_NUMBER
PN0050,TELECOM_NUMBER
PN0051,TELECOM_NUMBER
PN0052,TELECOM_NUMBER
PN0053,TELECOM_NUMBER
PN0054,TELECOM_NUMBER
PN0055,TELECOM_NUMBER
PN0056,TELECOM_NUMBER
PN0057,TELECOM_NUMBER
PN0058,TELECOM_NUMBER
PN0059,TELECOM_NUMBER
PN0060,TELECOM_NUMBER
PN0061,TELECOM_NUMBER
PN0062,TELECOM_NUMBER
PN0063,TELECOM_NUMBER
PN0064,TELECOM_NUMBER
PN0065,TELECOM_NUMBER
PN0066,TELECOM_NUMBER
PN0067,TELECOM_NUMBER
PN0068,TELECOM_NUMBER
PN0069,TELECOM_NUMBER
PN0070,TELECOM_NUMBER
PN0071,TELECOM_NUMBER
PN0072,TELECOM_NUMBER
PN0073,TELECOM_NUMBER
PN0074,TELECOM_NUMBER
PN0075,TELECOM_NUMBER
PN0076,TELECOM_NUMBER
PN0077,TELECOM_NUMBER
PN0078,TELECOM_NUMBER
PN0079,TELECOM_NUMBER
PN0080,TELECOM_NUMBER
PN0081,TELECOM_NUMBER
PN0082,TELECOM_NUMBER
PN0083,TELECOM_NUMBER
PN0084,TELECOM_NUMBER
PN0085,TELECOM_NUMBER
PN0086,TELECOM_NUMBER
PN0087,TELECOM_NUMBER
PN0088,TELECOM_NUMBER
PN0089,TELECOM_NUMBER
PN0090,TELECOM_NUMBER
PN0091,TELECOM_NUMBER
PN0092,TELECOM_NUMBER
PN0093,TELECOM_NUMBER
PN0094,TELECOM_NUMBER
PN0095,TELECOM_NUMBER
