partyId,contactMechId,fromDate,allowSolicitation
PRT0002,PN0001,2019-04-17 00:00:00.000,Y
PRT0002,PN0002,2019-04-17 00:00:00.000,Y
PRT0003,PN0003,2019-04-17 00:00:00.000,Y
PRT0005,PN0004,2019-04-17 00:00:00.000,Y
PRT0011,PN0005,2019-04-17 00:00:00.000,Y
PRT0011,PN0006,2019-04-17 00:00:00.000,Y
PRT0012,PN0007,2019-04-17 00:00:00.000,Y
PRT0013,PN0008,2019-04-17 00:00:00.000,Y
PRT0016,PN0009,2019-04-17 00:00:00.000,Y
PRT0020,PN0010,2019-04-17 00:00:00.000,Y
PRT0021,PN0011,2019-04-17 00:00:00.000,Y
PRT0024,PN0012,2019-04-17 00:00:00.000,Y
PRT0025,PN0013,2019-04-17 00:00:00.000,Y
PRT0026,PN0014,2019-04-17 00:00:00.000,Y
PRT0028,PN0015,2019-04-17 00:00:00.000,Y
PRT0033,PN0016,2019-04-17 00:00:00.000,Y
PRT0036,PN0017,2019-04-17 00:00:00.000,Y
PRT0037,PN0018,2019-04-17 00:00:00.000,Y
PRT0040,PN0019,2019-04-17 00:00:00.000,Y
PRT0042,PN0020,2019-04-17 00:00:00.000,Y
PRT0052,PN0021,2019-04-17 00:00:00.000,Y
PRT0054,PN0022,2019-04-17 00:00:00.000,Y
PRT0056,PN0023,2019-04-17 00:00:00.000,Y
PRT0059,PN0024,2019-04-17 00:00:00.000,Y
PRT0063,PN0025,2019-04-17 00:00:00.000,Y
PRT0068,PN0026,2019-04-17 00:00:00.000,Y
PRT0078,PN0027,2019-04-17 00:00:00.000,Y
PRT0080,PN0028,2019-04-17 00:00:00.000,Y
PRT0082,PN0029,2019-04-17 00:00:00.000,Y
PRT0085,PN0030,2019-04-17 00:00:00.000,Y
PRT0087,PN0031,2019-04-17 00:00:00.000,Y
PRT0091,PN0032,2019-04-17 00:00:00.000,Y
PRT0094,PN0033,2019-04-17 00:00:00.000,Y
PRT0095,PN0034,2019-04-17 00:00:00.000,Y
PRT0096,PN0035,2019-04-17 00:00:00.000,Y
PRT0097,PN0036,2019-04-17 00:00:00.000,Y
PRT0097,PN0037,2019-04-17 00:00:00.000,Y
PRT0098,PN0038,2019-04-17 00:00:00.000,Y
