partyId,contactMechId,fromDate,contactMechPurposeTypeId
CP0001,CCM001,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0002,CCM002,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0003,CCM003,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0004,CCM004,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0005,CCM005,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0006,CCM006,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0007,CCM007,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0008,CCM008,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0009,CCM009,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0010,CCM010,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0011,CCM011,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0012,CCM012,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0013,CCM013,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0014,CCM014,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0015,CCM015,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0016,CCM016,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0017,CCM017,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0018,CCM018,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0019,CCM019,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0020,CCM020,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0021,CCM021,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0022,CCM022,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0023,CCM023,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0024,CCM024,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0025,CCM025,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0026,CCM026,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0027,CCM027,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0028,CCM028,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0029,CCM029,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0030,CCM030,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0031,CCM031,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0032,CCM032,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0033,CCM033,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0034,CCM034,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0035,CCM035,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0036,CCM036,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0037,CCM037,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0038,CCM038,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0039,CCM039,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0040,CCM040,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0041,CCM041,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0042,CCM042,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0043,CCM043,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0044,CCM044,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0045,CCM045,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0046,CCM046,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0047,CCM047,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0048,CCM048,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0049,CCM049,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0050,CCM050,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0051,CCM051,2019-04-17 00:00:00.000,BILLING_LOCATION,
CP0052,CCM052,2019-04-17 00:00:00.000,BILLING_LOCATION,
