partyId,contactMechId,fromDate,allowSolicitation
CP0001,CCM001,2019-04-17 00:00:00.000,Y
CP0002,CCM002,2019-04-17 00:00:00.000,Y
CP0003,CCM003,2019-04-17 00:00:00.000,Y
CP0004,CCM004,2019-04-17 00:00:00.000,Y
CP0005,CCM005,2019-04-17 00:00:00.000,Y
CP0006,CCM006,2019-04-17 00:00:00.000,Y
CP0007,CCM007,2019-04-17 00:00:00.000,Y
CP0008,CCM008,2019-04-17 00:00:00.000,Y
CP0009,CCM009,2019-04-17 00:00:00.000,Y
CP0010,CCM010,2019-04-17 00:00:00.000,Y
CP0011,CCM011,2019-04-17 00:00:00.000,Y
CP0012,CCM012,2019-04-17 00:00:00.000,Y
CP0013,CCM013,2019-04-17 00:00:00.000,Y
CP0014,CCM014,2019-04-17 00:00:00.000,Y
CP0015,CCM015,2019-04-17 00:00:00.000,Y
CP0016,CCM016,2019-04-17 00:00:00.000,Y
CP0017,CCM017,2019-04-17 00:00:00.000,Y
CP0018,CCM018,2019-04-17 00:00:00.000,Y
CP0019,CCM019,2019-04-17 00:00:00.000,Y
CP0020,CCM020,2019-04-17 00:00:00.000,Y
CP0021,CCM021,2019-04-17 00:00:00.000,Y
CP0022,CCM022,2019-04-17 00:00:00.000,Y
CP0023,CCM023,2019-04-17 00:00:00.000,Y
CP0024,CCM024,2019-04-17 00:00:00.000,Y
CP0025,CCM025,2019-04-17 00:00:00.000,Y
CP0026,CCM026,2019-04-17 00:00:00.000,Y
CP0027,CCM027,2019-04-17 00:00:00.000,Y
CP0028,CCM028,2019-04-17 00:00:00.000,Y
CP0029,CCM029,2019-04-17 00:00:00.000,Y
CP0030,CCM030,2019-04-17 00:00:00.000,Y
CP0031,CCM031,2019-04-17 00:00:00.000,Y
CP0032,CCM032,2019-04-17 00:00:00.000,Y
CP0033,CCM033,2019-04-17 00:00:00.000,Y
CP0034,CCM034,2019-04-17 00:00:00.000,Y
CP0035,CCM035,2019-04-17 00:00:00.000,Y
CP0036,CCM036,2019-04-17 00:00:00.000,Y
CP0037,CCM037,2019-04-17 00:00:00.000,Y
CP0038,CCM038,2019-04-17 00:00:00.000,Y
CP0039,CCM039,2019-04-17 00:00:00.000,Y
CP0040,CCM040,2019-04-17 00:00:00.000,Y
CP0041,CCM041,2019-04-17 00:00:00.000,Y
CP0042,CCM042,2019-04-17 00:00:00.000,Y
CP0043,CCM043,2019-04-17 00:00:00.000,Y
CP0044,CCM044,2019-04-17 00:00:00.000,Y
CP0045,CCM045,2019-04-17 00:00:00.000,Y
CP0046,CCM046,2019-04-17 00:00:00.000,Y
CP0047,CCM047,2019-04-17 00:00:00.000,Y
CP0048,CCM048,2019-04-17 00:00:00.000,Y
CP0049,CCM049,2019-04-17 00:00:00.000,Y
CP0050,CCM050,2019-04-17 00:00:00.000,Y
CP0051,CCM051,2019-04-17 00:00:00.000,Y
CP0052,CCM052,2019-04-17 00:00:00.000,Y
