contactMechId,contactMechTypeId
CTC001,TELECOM_NUMBER
CTC002,TELECOM_NUMBER
CTC003,TELECOM_NUMBER
CTC004,TELECOM_NUMBER
CTC005,TELECOM_NUMBER
CTC006,TELECOM_NUMBER
CTC007,TELECOM_NUMBER
CTC008,TELECOM_NUMBER
CTC009,TELECOM_NUMBER
CTC010,TELECOM_NUMBER
CTC011,TELECOM_NUMBER
CTC012,TELECOM_NUMBER
CTC013,TELECOM_NUMBER
CTC014,TELECOM_NUMBER
CTC015,TELECOM_NUMBER
CTC016,TELECOM_NUMBER
CTC017,TELECOM_NUMBER
CTC018,TELECOM_NUMBER
CTC019,TELECOM_NUMBER
CTC020,TELECOM_NUMBER
CTC021,TELECOM_NUMBER
CTC022,TELECOM_NUMBER
CTC023,TELECOM_NUMBER
CTC024,TELECOM_NUMBER
CTC025,TELECOM_NUMBER
CTC026,TELECOM_NUMBER
CTC027,TELECOM_NUMBER
CTC028,TELECOM_NUMBER
CTC029,TELECOM_NUMBER
CTC030,TELECOM_NUMBER
CTC031,TELECOM_NUMBER
CTC032,TELECOM_NUMBER
CTC033,TELECOM_NUMBER
CTC034,TELECOM_NUMBER
CTC035,TELECOM_NUMBER
