partyId,contactMechId,fromDate,contactMechPurposeTypeId
CP0005,CTC001,2019-04-17 00:00:00.000,PHONE_MOBILE
CP0006,CTC002,2019-04-17 00:00:00.000,PHONE_MOBILE
CP0008,CTC003,2019-04-17 00:00:00.000,PHONE_MOBILE
CP0010,CTC004,2019-04-17 00:00:00.000,PHONE_MOBILE
CP0013,CTC005,2019-04-17 00:00:00.000,PHONE_MOBILE
CP0016,CTC006,2019-04-17 00:00:00.000,PHONE_MOBILE
CP0017,CTC007,2019-04-17 00:00:00.000,PHONE_MOBILE
CP0018,CTC008,2019-04-17 00:00:00.000,PHONE_MOBILE
CP0019,CTC009,2019-04-17 00:00:00.000,PHONE_MOBILE
CP0022,CTC010,2019-04-17 00:00:00.000,PHONE_MOBILE
CP0023,CTC011,2019-04-17 00:00:00.000,PHONE_MOBILE
CP0024,CTC012,2019-04-17 00:00:00.000,PHONE_MOBILE
CP0026,CTC013,2019-04-17 00:00:00.000,PHONE_MOBILE
CP0027,CTC014,2019-04-17 00:00:00.000,PHONE_MOBILE
CP0028,CTC015,2019-04-17 00:00:00.000,PHONE_MOBILE
CP0030,CTC016,2019-04-17 00:00:00.000,PHONE_MOBILE
CP0031,CTC017,2019-04-17 00:00:00.000,PHONE_MOBILE
CP0032,CTC018,2019-04-17 00:00:00.000,PHONE_MOBILE
CP0033,CTC019,2019-04-17 00:00:00.000,PHONE_MOBILE
CP0034,CTC020,2019-04-17 00:00:00.000,PHONE_MOBILE
CP0034,CTC021,2019-04-17 00:00:00.000,PHONE_MOBILE
CP0035,CTC022,2019-04-17 00:00:00.000,PHONE_MOBILE
CP0035,CTC023,2019-04-17 00:00:00.000,PHONE_MOBILE
CP0036,CTC024,2019-04-17 00:00:00.000,PHONE_MOBILE
CP0038,CTC025,2019-04-17 00:00:00.000,PHONE_MOBILE
CP0039,CTC026,2019-04-17 00:00:00.000,PHONE_MOBILE
CP0040,CTC027,2019-04-17 00:00:00.000,PHONE_MOBILE
CP0042,CTC028,2019-04-17 00:00:00.000,PHONE_MOBILE
CP0043,CTC029,2019-04-17 00:00:00.000,PHONE_MOBILE
CP0044,CTC030,2019-04-17 00:00:00.000,PHONE_MOBILE
CP0045,CTC031,2019-04-17 00:00:00.000,PHONE_MOBILE
CP0046,CTC032,2019-04-17 00:00:00.000,PHONE_MOBILE
CP0047,CTC033,2019-04-17 00:00:00.000,PHONE_MOBILE
CP0048,CTC034,2019-04-17 00:00:00.000,PHONE_MOBILE
CP0051,CTC035,2019-04-17 00:00:00.000,PHONE_MOBILE
